DefaultSC.ElapsedSecs   DefaultSC.SunMJ2000Ec.X   DefaultSC.SunMJ2000Ec.Y   DefaultSC.SunMJ2000Ec.Z   DefaultSC.SunMJ2000Ec.VX   DefaultSC.SunMJ2000Ec.VY   DefaultSC.SunMJ2000Ec.VZ   
0                       -26234827.5935499         143254606.4839523         -605.1121386736631        -29.49719930077679         -5.414763857333822         0.000179932481943812       
59.99999988125637       -26236597.42353914        143254281.5873705         -605.1013426929712        -29.49713367325156         -5.415122202266753         0.0001799339955927959      
268.3554765069857       -26242743.28913631        143253153.187367          -605.0638519227505        -29.49690574129212         -5.416366581485671         0.0001799392516677045      
910.0169145036489       -26261670.09080215        143249676.4843091         -604.9483866468072        -29.49620345574268         -5.420198769759208         0.0001799554365224942      
2650.035146728624       -26312992.36405842        143240236.1988918         -604.6352227255702        -29.49429649212234         -5.430590198221            0.0001799993109994347      
7778.485556587111       -26464237.94705455        143212307.1589022         -603.7117738202214        -29.48865433388089         -5.461213454453216         0.0001801285154487964      
18213.16315041622       -26771882.24867784        143154996.1494638         -601.8308207690716        -29.47707459517452         -5.523503106345926         0.0001803910598927594      
40430.5631299736        -27426508.48622655        143030805.6794012         -597.8167926669121        -29.45197339398611         -5.656046091278354         0.0001809500845912915      
67430.5631299736        -28221290.95536206        142875919.6465847         -592.9219261780381        -29.42065299234512         -5.816964398077889         0.0001816339166502701      
94430.5631299736        -29015215.70099085        142716691.1902411         -588.0084619596601        -29.38843850037322         -5.977706223149669         0.000182328765014006       
121430.5631299736       -29808258.59747213        142553125.1458488         -583.0760165825486        -29.35533101942949         -6.138266346714614         0.0001830409712568759      
148430.5631299736       -30600395.54932251        142385226.4897907         -578.1240377947688        -29.32133168201732         -6.298639551243054         0.0001837766938601604      
175430.5631299736       -31391602.49205555        142213000.3392876         -573.1518098190427        -29.28644165168922         -6.458820621879782         0.0001845418864254711      
202430.5631299736       -32181855.39301876        142036451.952321          -568.1584590822458        -29.25066212294818         -6.618804346868018         0.0001853422765227819      
229430.5631299736       -32971130.25222797        141855586.7275429         -563.1429606899619        -29.2139943211452          -6.778585517973315         0.0001861833451513029      
256430.5631299736       -33759403.10319869        141670410.2041753         -558.1041453182697        -29.17643950237259         -6.938158930908419         0.0001870703067949897      
283430.5631299736       -34546650.01377471        141480928.0618981         -553.0407066494227        -29.13799895335284         -7.097519385760058         0.0001880080901042192      
310430.5631299736       -35332847.08695353        141287146.1207246         -547.9512093514204        -29.09867399132275         -7.256661687418549         0.0001890013192022977      
337430.5631299736       -36117970.46170864        141089070.3408668         -542.8340975791216        -29.05846596391276         -7.41558064601101          0.0001900542956470019      
