DefaultSC.ElapsedSecs   DefaultSC.SSBMJ2000Ec.X   DefaultSC.SSBMJ2000Ec.Y   DefaultSC.SSBMJ2000Ec.Z   DefaultSC.SSBMJ2000Ec.VX   DefaultSC.SSBMJ2000Ec.VY   DefaultSC.SSBMJ2000Ec.VZ   
918000                  -54286079.36695536        136730613.6989746         30879.40525971353         -28.24804868920089         -10.91232709537541         0.000593625625255001       
945000                  -55047952.56675489        136433897.5813289         30894.60299345106         -28.18685844764463         -11.06657808062506         0.0005314501997322196      
972000                  -55808161.93748421        136133022.1023158         30908.06771399826         -28.12480308603498         -11.22042686262983         0.0004652915781280242      
999000                  -56566684.20245554        135827998.2074972         30919.69501416385         -28.06188868213162         -11.37386710233146         0.0003953866849970567      
1026000                 -57323496.25212561        135518837.0104771         30929.38724497706         -27.99812154172299         -11.52689269615095         0.0003219993938587962      
1053000                 -58078575.15030269        135205549.7861875         30937.05425864458         -27.93350819678297         -11.67949780076722         0.000245421655325373       
1080000                 -58831898.14013273        134888147.963523          30942.61418141425         -27.868055401276           -11.83167686082284         0.0001659745942541591      
1107000                 -59583442.65006293        134566643.1171318         30945.99421522766         -27.80177012375847         -11.98342463961522         8.40095121077411e-05       
1134000                 -60333186.29946433        134241046.958378          30947.13146415353         -27.73465953587542         -12.13473625256234         -9.128492273191569e-08     
1161000                 -61081106.90387758        133911371.3253655         30945.9737797007          -27.66673099575263         -12.28560720308525         -8.591392790968655e-05     
1188000                 -61827182.47980814        133577628.1719342         30942.48061647266         -27.59799202525547         -12.43603342029808         -0.00017301280827553       
1215000                 -62571391.24873504        133239829.5556569         30936.62388592959         -27.52845028012978         -12.58601129756406         -0.0002609109057978287     
1242000                 -63313711.64020719        132897987.6247991         30928.38879314065         -27.45811351211031         -12.73553773071234         -0.0003491007544331737     
1269000                 -64054122.29387746        132552114.6042312         30917.77463712543         -27.38698952225857         -12.88461015438678         -0.0004370461818412608     
