DefaultSC.ElapsedSecs   DefaultSC.SSBMJ2000Ec.X   DefaultSC.SSBMJ2000Ec.Y   DefaultSC.SSBMJ2000Ec.Z   DefaultSC.SSBMJ2000Ec.VX   DefaultSC.SSBMJ2000Ec.VY   DefaultSC.SSBMJ2000Ec.VZ   
0                       -27566632.30887338        144279062.6478545         30226.40653969348         -29.78494750260236         -5.48211967955814          1.841143963465797e-05      
13500                   -27968627.90354284        144204504.4239543         30226.65703097731         -29.76991768240305         -5.563536187930709         1.869813711108392e-05      
27000                   -28370419.06788338        144128847.3594224         30226.91138287634         -29.7546615478696          -5.644910775853157         1.898338310724057e-05      
40500                   -28772002.74746279        144052092.0245747         30227.16957578063         -29.73917921952657         -5.726242793009416         1.926717458955451e-05      
54000                   -29173375.88948937        143974238.9985043         30227.43159002066         -29.72347081988327         -5.807531589449782         1.954950853821913e-05      
67500                   -29574535.44283862        143895288.8690758         30227.69740591943         -29.70753647343249         -5.888776515597622         1.983038193875686e-05      
81000                   -29975478.35808016        143815242.2329208         30227.96700373292         -29.69137630664927         -5.96997692225605          2.010979179001282e-05      
94500                   -30376201.58750434        143734099.6954322         30228.24036369473         -29.67499044798966         -6.051132160614626         2.038773509793757e-05      
108000                  -30776702.08514902        143651861.8707594         30228.51746597886         -29.65837902788933         -6.132241582256028         2.066420887958387e-05      
121500                  -31176976.80682635        143568529.3818026         30228.79829070717         -29.64154217876235         -6.213304539162733         2.093921016088629e-05      
135000                  -31577022.71014936        143484102.8602075         30229.08281800151         -29.62448003499973         -6.294320383723682         2.121273597932571e-05      
148500                  -31976836.75455874        143398582.9463599         30229.37102791667         -29.60719273296812         -6.375288468740954         2.148478338304116e-05      
162000                  -32376415.90134944        143311970.2893799         30229.66290046275         -29.58968041100838         -6.456208147436415         2.175534942816526e-05      
175500                  -32775757.11369732        143224265.5471161         30229.95841565728         -29.5719432094341          -6.537078773458379         2.202443118370923e-05      
189000                  -33174857.3566858         143135469.3861401         30230.25755342096         -29.55398127053022         -6.617899700888257         2.229202572534561e-05      
202500                  -33573713.59733242        143045582.4817404         30230.56029364467         -29.53579473855151         -6.698670284247196         2.255813014295782e-05      
216000                  -33972322.80461547        142954605.5179164         30230.86661622673         -29.51738375972102         -6.779389878502723         2.282274153531105e-05      
229500                  -34370681.94950053        142862539.1873723         30231.17650096119         -29.49874848222862         -6.860057839075364         2.308585701271682e-05      
243000                  -34768788.00496698        142769384.1915114         30231.4899276197          -29.47988905622939         -6.940673521845282         2.334747369525658e-05      
256500                  -35166637.9460346         142675141.240429          30231.80687597394         -29.46080563384204         -7.021236283158885         2.360758871144952e-05      
270000                  -35564228.74978996        142579811.0529069         30232.12732573599         -29.44149836914732         -7.101745479835445         2.386619920446975e-05      
283500                  -35961557.395413          142483394.3564065         30232.4512565881          -29.42196741818632         -7.182200469173703         2.412330232814952e-05      
297000                  -36358620.86420341        142385891.8870622         30232.77864812315         -29.40221293895891         -7.262600608958465         2.437889524342651e-05      
310500                  -36755416.13960712        142287304.3896753         30233.10947996378         -29.38223509142195         -7.342945257467195         2.463297512633744e-05      
324000                  -37151940.20724266        142187632.6177068         30233.44373162836         -29.36203403748764         -7.423233773476603         2.488553916046854e-05      
337500                  -37548190.05492753        142086877.3332708         30233.78138267994         -29.34160994102172         -7.503465516269226         2.513658454539325e-05      
351000                  -37944162.67270465        141985039.3071278         30234.12241258472         -29.32096296784178         -7.58363984563999          2.538610848734635e-05      
364500                  -38339855.05286862        141882119.3186775         30234.4668007493          -29.30009328571541         -7.663756121902787         2.56341082058853e-05       
378000                  -38735264.18999205        141778118.1559517         30234.81452660263         -29.27900106435839         -7.743813705897019         2.588058093122569e-05      
391500                  -39130387.08095186        141673036.6156073         30235.16556954384         -29.25768647543288         -7.823811958994159         2.612552390601763e-05      
405000                  -39525220.72495554        141566875.5029193         30235.51990885288         -29.23614969254553         -7.903750243104287         2.636893438445753e-05      
418500                  -39919762.12356736        141459635.6317729         30235.87752386183         -29.21439089124556         -7.983627920682631         2.661080963051177e-05      
432000                  -40314008.28073464        141351317.8246567         30236.23839379102         -29.19241024902291         -8.063444354736083         2.68511469210253e-05       
