DefaultSC.ElapsedSecs   DefaultSC.SSBMJ2000Ec.X   DefaultSC.SSBMJ2000Ec.Y   DefaultSC.SSBMJ2000Ec.Z   DefaultSC.SSBMJ2000Ec.VX   DefaultSC.SSBMJ2000Ec.VY   DefaultSC.SSBMJ2000Ec.VZ   
3258034.22033235        -110887837.4840057        95939523.8835704          30486.54483480007         -19.94676085931273         -22.26139084783545         6.300144298876376e-05      
3285034.22033235        -111424750.7531172        95337023.19562107         30488.24578655511         -19.8244980709319          -22.36817450511368         6.300321052421509e-05      
3312034.22033235        -111958355.304923         94731648.69724549         30489.94742503762         -19.70167140386329         -22.47426516868876         6.30512814758788e-05       
3339034.22033235        -112488635.9727106        94123419.14171997         30491.65091502667         -19.57828515783706         -22.5796596989233          6.313925673673282e-05      
3366034.22033235        -113015577.7060643        93512353.36672193         30493.35724263638         -19.45434364764619         -22.68435498358583         6.326029962799851e-05      
3393034.22033235        -113539165.5712657        92898470.29358423         30495.06720367819         -19.32985120263064         -22.78834793829115         6.340715982666723e-05      
3420034.22033235        -114059384.7516791        92281788.92653708         30496.78139299899         -19.20481216616134         -22.89163550695234         6.357220189912027e-05      
3447034.22033235        -114576220.5481232        91662328.3519378          30498.50019444153         -19.07923089511807         -22.99421466223738         6.374743901460533e-05      
3474034.22033235        -115089658.3792294        91040107.7374886          30500.22377166152         -18.95311175939451         -23.09608240601416         6.392455338577463e-05      
3501034.22033235        -115599683.7817862        90415146.33144146         30501.95205984637         -18.8264591413904          -23.19723576984167         6.409494232073598e-05      
3528034.22033235        -116106282.41107          89787463.46179029         30503.68475840241         -18.69927743551223         -23.29767181543195         6.424975392604893e-05      
3555034.22033235        -116609440.0411629        89157078.53545034         30505.42132488638         -18.57157104769059         -23.3973876351282          6.437992863794761e-05      
3582034.22033235        -117109142.5652573        88524011.03742461         30507.16096986458         -18.44334439491217         -23.49638035238625         6.447624359928739e-05      
3609034.22033235        -117605375.9959487        87888280.52995741         30508.90265325829         -18.31460190476981         -23.59464712225814         6.452935971346108e-05      
3636034.22033235        -118098126.4655155        87249906.65167457         30510.64508185536         -18.18534801503493         -23.69218513187653         6.452987145522116e-05      
3663034.22033235        -118587380.2261892        86608909.11671083         30512.38670809194         -18.05558717325646         -23.78899160093806         6.44683591204398e-05       
3690034.22033235        -119073123.6504127        85965307.71382414         30514.12573057413         -17.92532383639154         -23.88506378218379         6.433544342066e-05         
3717034.22033235        -119555343.2310901        85319122.30549696         30515.8600958176          -17.79456247047301         -23.98039896187403         6.412184222703843e-05      
3744034.22033235        -120034025.5818275        84670372.82702488         30517.58750168607         -17.66330755031953         -24.0749944602549          6.381842901959089e-05      
3771034.22033235        -120509157.4371669        84019079.28559305         30519.30540238321         -17.53156355929407         -24.16884763201294         6.341629286943373e-05      
3798034.22033235        -120980725.6528144        83365261.75934011         30521.0110151656          -17.39933498911706         -24.26195586671442         6.290679929321641e-05      
3825034.22033235        -121448717.2058638        82708940.39641072         30522.70132854208         -17.2666263397398          -24.3543165892247          6.228165168309374e-05      
3852034.22033235        -121913119.195018         82050135.41399729         30524.3731122613          -17.13344211928415         -24.44592726010322         6.153295254129887e-05      
3879034.22033235        -122373918.8408096        81388867.09737101         30526.02292891219         -16.99978684405362         -24.53678537596952         6.065326394377735e-05      
3906034.22033235        -122831103.4858224        80725155.79890379         30527.64714715257         -16.86566503862023         -24.62688846983485         5.963566643885088e-05      
3933034.22033235        -123284660.5949176        80059021.93708162         30529.24195642397         -16.7310812359906          -24.71623411139506         5.847381569346055e-05      
3960034.22033235        -123734577.7554635        79390485.99551052         30530.80338326469         -16.59603997785336         -24.80481990727936         5.716199585670267e-05      
3987034.22033235        -124180842.6775754        78719568.52191675         30532.32730891183         -16.46054581490837         -24.89264350125141         5.569516904380123e-05      
4014034.22033235        -124623443.1943633        78046290.12714179         30533.80948825926         -16.32460330727621         -24.97970257435846         5.406901987825563e-05      
4041034.22033235        -125062367.2621931        77370671.48413444         30535.24556985498         -16.18821702498512         -25.06599484502646         5.2279994456228e-05        
4068034.22033235        -125497602.9609615        76692733.32694084         30536.63111695647         -16.05139154852966         -25.15151806909894         5.032533288940044e-05      
4095034.22033235        -125929138.4943868        76012496.44969432         30537.96162936091         -15.91413146949395         -25.23627003981961         4.820309488451358e-05      
4122034.22033235        -126356962.1903173        75329981.70560658         30539.23256572336         -15.77644139123053         -25.32024858775968         4.591217780181012e-05      
4149034.22033235        -126781062.5010587        74645210.0059613          30540.43936631456         -15.63832592958367         -25.403451580692           4.34523268992848e-05       
4176034.22033235        -127201428.0037218        73958202.31911196         30541.57747607678         -15.49978971364543         -25.48587692341634         4.082413749628699e-05      
4203034.22033235        -127618047.4005904        73268979.66948505         30542.6423673965          -15.36083738653124         -25.5675225575405          3.80290492039137e-05       
4230034.22033235        -128030909.5195105        72577563.13658951         30543.62956281751         -15.22147360616177         -25.64838646122388         3.506933228081266e-05      
4257034.22033235        -128440003.3143004        71883973.85403377         30544.53465715423         -15.08170304603779         -25.72846664889064         3.194806653183946e-05      
4284034.22033235        -128845317.865182         71188233.00855067         30545.35333899781         -14.94153039599527         -25.80776117092049         2.866911332155553e-05      
4311034.22033235        -129246842.3792315        70490361.83903113         30546.08141135052         -14.80096036292923         -25.88626811332541         2.523708125679036e-05      
4338034.22033235        -129644566.1908491        69790381.63556625         30546.71481131762         -14.65999767147586         -25.96398559742072         2.165728643532816e-05      
4365034.22033235        -130038478.762247         69088313.73849882         30547.24962858483         -14.51864706464467         -26.04091177949861         1.793570800501243e-05      
4392034.22033235        -130428569.6839531        68384179.53748308         30547.68212268129         -14.37691330439385         -26.11704485051194         1.407893998717213e-05      
4419034.22033235        -130814828.6753301        67678000.47055301         30548.00873890892         -14.2348011721445          -26.19238303577531         1.009414020280985e-05      
4446034.22033235        -131197245.5851067        66969798.02319838         30548.22612283006         -14.09231546923103         -26.26692459468933         5.988977269666407e-06      
4473034.22033235        -131575810.391921         66259593.72744773         30548.33113340288         -13.94946101728719         -26.34066782049331         1.771576359388405e-06      
4500034.22033235        -131950513.2048729        65547409.16095784         30548.32085445151         -13.80624265856884         -26.41361104005039         -2.549535384588353e-06     
4527034.22033235        -132321344.2640846        64833265.94610832         30548.19260487333         -13.66266525621604         -26.48575261366793         -6.965483196452738e-06     
4554034.22033235        -132688293.9412674        64117185.74910055         30547.94394728914         -13.51873369445868         -26.5570909349554          -1.146709822208436e-05     
4581034.22033235        -133051352.7402935        63399190.27906022         30547.57269519195         -13.37445287877012         -26.62762443072026         -1.604496969065394e-05     
4608034.22033235        -133410511.2977705        62679301.28714171         30547.07691897452         -13.22982773597504         -26.69735156090252         -2.068949545908083e-05     
4635034.22033235        -133765760.3836198        61957540.56563413         30546.45495022461         -13.08486321431723         -26.76627081854682         -2.539093056341812e-05     
4662034.22033235        -134117090.9016546        61233929.9470674          30545.70538509265         -12.9395642834939          -26.83438072981133         -3.013943365992589e-05     
4689034.22033235        -134464493.8901599        60508491.30331773         30544.82708624005         -12.79393593466297         -26.90167985401159         -3.492511116043318e-05     
4716034.22033235        -134807960.5224713        59781246.54471128         30543.81918366626         -12.64798318042957         -26.96816678369714         -3.973805921653195e-05     
4743034.22033235        -135147482.1075541        59052217.61912559         30542.68107449263         -12.50171105481773         -27.03384014475907         -4.456840329680745e-05     
4770034.22033235        -135483050.0905811        58321426.51108754         30541.41242161766         -12.35512461323313         -27.09869859656564         -4.940633575145625e-05     
4797034.22033235        -135814656.0535091        57588895.2408673          30540.0131514445          -12.20822893242215         -27.16274083212477         -5.42421512452762e-05      
