DefaultSC.ElapsedSecs   DefaultSC.SunMJ2000Ec.X   DefaultSC.SunMJ2000Ec.Y   DefaultSC.SunMJ2000Ec.Z   DefaultSC.SunMJ2000Ec.VX   DefaultSC.SunMJ2000Ec.VY   DefaultSC.SunMJ2000Ec.VZ   
1890000                 -79476203.98277968        123978276.9960144         -231.2350584715605        -25.57198258152559         -16.17728978804004         0.0002153267133930825      
1903500                 -79821124.37382142        123759414.4135371         -228.327275916934         -25.52730273509815         -16.24677546242296         0.0002154556118263429      
1917000                 -80165440.29685134        123539614.6278874         -225.4177642986178        -25.4824318273984          -16.31613461275541         0.0002155828722205655      
1930500                 -80509149.17507458        123318879.3507708         -222.5065457299352        -25.43737023383996         -16.38536670131717         0.0002157084937284282      
1944000                 -80852248.4367749         123097210.3011442         -219.593642346561         -25.39211833141531         -16.45447119159597         0.0002158324755265895      
1957500                 -81194735.51533619        122874609.205199          -216.6790762618184        -25.34667649869135         -16.52344754829252         0.0002159548167952607      
1971000                 -81536607.84926358        122651077.796345          -213.7628696784377        -25.30104511580502         -16.59229523732543         0.0002160755167315287      
1984500                 -81877862.88220462        122426617.8151938         -210.8450447171927        -25.25522456445886         -16.6610137258362          0.0002161945745484672      
1998000                 -82218498.06297037        122201231.0095423         -207.9256235659123        -25.20921522791654         -16.72960248219415         0.0002163119894751375      
2011500                 -82558510.84555645        121974919.1343562         -205.0046284124255        -25.16301749099844         -16.79806097600127         0.0002164277607503706      
2025000                 -82897898.68916409        121747683.9517532         -202.0820814222097        -25.1166317400771          -16.8663886780972          0.0002165418876343139      
2038500                 -83236659.05822091        121519527.2309861         -199.158004835248         -25.0700583630728          -16.93458506056401         0.0002166543693924439      
2052000                 -83574789.42240202        121290450.7484265         -196.232420861721         -25.02329774944897         -17.00264959673113         0.0002167652053133296      
2065500                 -83912287.25665054        121060456.2875474         -193.3053517267108        -24.97635029020771         -17.07058176118011         0.0002168743946935337      
2079000                 -84249150.04119854        120829545.6389063         -190.3768196329474        -24.92921637788519         -17.1383810297495          0.0002169819368509351      
2092500                 -84585375.26158762        120597720.6001288         -187.4468468353152        -24.88189640654714         -17.20604687953959         0.0002170878311105184      
2106000                 -84920960.40868965        120364982.9758908         -184.5154556035996        -24.8343907717842          -17.27357878891722         0.000217192076812367       
2119500                 -85255902.97872716        120131334.5779018         -181.5826681777835        -24.78669987070738         -17.34097623752053         0.0002172946733125514      
2133000                 -85590200.47329395        119896777.2248873         -178.648506835103         -24.73882410194342         -17.40823870626367         0.0002173956199866822      
2146500                 -85923850.39937545        119661312.7425723         -175.7129938453436        -24.6907638656301          -17.47536567734158         0.0002174949162183637      
2160000                 -86256850.26936917        119424942.9636631         -172.776151522994         -24.64251956341172         -17.54235663423459         0.0002175925614080754      
2173500                 -86589197.60110495        119187669.7278305         -169.8380021229386        -24.59409159843431         -17.60921106171318         0.000217688554972284       
2187000                 -86920889.91786517        118949494.8816921         -166.898567982018         -24.54548037534101         -17.67592844584258         0.00021778289633545        
2200500                 -87251924.74840502        118710420.2787949         -163.957871362567         -24.49668630026736         -17.74250827398748         0.00021787558494335        
2214000                 -87582299.62697257        118470447.7795976         -161.0159346237779        -24.44770978083658         -17.80895003481656         0.0002179666202524189      
2227500                 -87912012.09332877        118229579.2514531         -158.0727800577879        -24.39855122615486         -17.87525321830714         0.0002180560017359667      
2241000                 -88241059.69276753        117987816.5685907         -155.1284300237894        -24.34921104680659         -17.94141731574976         0.000218143728877962       
2254500                 -88569439.97613558        117745161.6120985         -152.1829068437219        -24.29968965484961         -18.0074418197527          0.000218229801182801       
2268000                 -88897150.49985237        117501616.2699054         -149.2362328469753        -24.24998746381045         -18.07332622424656         0.0002183142181637621      
2281500                 -89224188.82592984        117257182.4367632         -146.2884304001927        -24.20010488867953         -18.13907002448875         0.0002183969793474461      
2295000                 -89550552.52199209        117011862.0142289         -143.3395218476653        -24.15004234590631         -18.20467271706799         0.0002184780842791056      
2308500                 -89876239.16129525        116765656.9106464         -140.3895295634866        -24.09980025339457         -18.27013379990881         0.0002185575325199807      
2322000                 -90201246.3227468         116518569.0411287         -137.4384759366512        -24.04937903049747         -18.33545277227598         0.0002186353236446337      
2335500                 -90525571.59092534        116270600.3275396         -134.4863833189011        -23.99877909801277         -18.40062913477893         0.0002187114572329563      
2349000                 -90849212.55609986        116021752.6984755         -131.5332740619779        -23.94800087817791         -18.46566238937622         0.0002187859328914854      
2362500                 -91172166.81424934        115772028.0892473         -128.5791705995798        -23.89704479466517         -18.53055203937991         0.0002188587502356398      
2376000                 -91494431.96708199        115521428.4418621         -125.6240952834487        -23.84591127257676         -18.5952975894599          0.0002189299088959373      
2389500                 -91816005.62205449        115269955.7050046         -122.6680705323815        -23.79460073843991         -18.65989854564832         0.0002189994085162184      
2403000                 -92136885.39239122        115017611.834019          -119.7111187279224        -23.74311362020197         -18.72435441534386         0.0002190672487554224      
2416500                 -92457068.89710341        114764398.7908903         -116.7532622739673        -23.69145034722541         -18.78866470731608         0.0002191334292822589      
2430000                 -92776553.76100825        114510318.5442258         -113.7945236042142        -23.63961135028294         -18.8528289317097          0.0002191979497911945      
