DefaultSC.ElapsedSecs   DefaultSC.SSBMJ2000Ec.X   DefaultSC.SSBMJ2000Ec.Y   DefaultSC.SSBMJ2000Ec.Z   DefaultSC.SSBMJ2000Ec.VX   DefaultSC.SSBMJ2000Ec.VY   DefaultSC.SSBMJ2000Ec.VZ   
0                       -27566632.31104538        144279062.6474547         30226.40653969348         -29.78494750252337         -5.482119679999549         1.84114398349422e-05       
13500                   -27968627.90571376        144204504.4235486         30226.65703096986         -29.76991768232284         -5.563536188371894         1.869813731181225e-05      
27000                   -28370419.07005321        144128847.3590107         30226.91138285399         -29.75466154778816         -5.644910776294114         1.89833833075248e-05       
40500                   -28772002.74963152        144052092.0241571         30227.16957575083         -29.73917921944392         -5.72624279345014          1.926717479117102e-05      
54000                   -29173375.89165697        143974238.9980807         30227.43159001321         -29.7234708197994          -5.807531589890274         1.954950874027972e-05      
67500                   -29574535.44500509        143895288.8686463         30227.69740591198         -29.7075364733474          -5.888776516037874         1.983038214214972e-05      
81000                   -29975478.36024547        143815242.2324853         30227.96700374782         -29.69137630656297         -5.969976922696058         2.010979199207341e-05      
94500                   -30376201.58966846        143734099.6949908         30228.24036370963         -29.67499044790213         -6.051132161054389         2.038773530044225e-05      
108000                  -30776702.08731196        143651861.870312          30228.51746599376         -29.6583790278006          -6.132241582695544         2.066420908208855e-05      
121500                  -31176976.80898808        143568529.3813493         30228.79829072952         -29.64154217867239         -6.213304539601997         2.093921036427915e-05      
135000                  -31577022.71230988        143484102.8597482         30229.08281804621         -29.62448003490856         -6.294320384162692         2.121273618360675e-05      
148500                  -31976836.75671803        143398582.9458948         30229.37102796882         -29.60719273287574         -6.375288469179705         2.14847835873222e-05       
162000                  -32376415.90350747        143311970.2889088         30229.6629005447          -29.58968041091478         -6.456208147874902         2.175534963333448e-05      
175500                  -32775757.11585408        143224265.5466391         30229.95841573179         -29.57194320933929         -6.537078773896599         2.202443138799026e-05      
189000                  -33174857.35884127        143135469.3856572         30230.25755348802         -29.5539812704342          -6.617899701326208         2.229202593095891e-05      
202500                  -33573713.59948659        143045582.4812516         30230.56029371917         -29.53579473845427         -6.698670284684876         2.25581303494593e-05       
216000                  -33972322.80676832        142954605.5174216         30230.86661628634         -29.51738375962257         -6.779389878940126         2.282274174270071e-05      
229500                  -34370681.95165204        142862539.1868717         30231.17650101334         -29.49874848212896         -6.860057839512487         2.308585722010648e-05      
243000                  -34768788.00711714        142769384.1910048         30231.4899276942          -29.47988905612851         -6.940673522282119         2.334747390175807e-05      
256500                  -35166637.94818339        142675141.2399166         30231.80687606335         -29.46080563373995         -7.021236283595436         2.360758891928327e-05      
270000                  -35564228.75193737        142579811.0523886         30232.12732582539         -29.44149836904402         -7.101745480271707         2.386619941363577e-05      
283500                  -35961557.39755901        142483394.3558822         30232.45125667751         -29.42196741808182         -7.18220046960967          2.412330253642736e-05      
297000                  -36358620.86634801        142385891.8865321         30232.7786481902          -29.4022129388532          -7.262600609394134         2.437889545170435e-05      
310500                  -36755416.1417503         142287304.3891393         30233.10948000103         -29.38223509131503         -7.342945257902565         2.463297533417119e-05      
324000                  -37151940.20938437        142187632.6171649         30233.44373168796         -29.3620340373795          -7.423233773911669         2.488553936874638e-05      
